OSVALDO,1999,20,m
ROBERTA,1999,20,m
SIMONE PIO,1999,20,m
SOFIA,1999,20,m
TANCREDI,1999,20,m
VINCENT,1999,20,m
ADRIAN,1999,19,m
ANNA,1999,19,m
ANTONIO EMANUELE,1999,19,m
ARIANNA,1999,19,m
DAVIDE PIO,1999,19,m
ERASMO,1999,19,m
FEDELE,1999,19,m
GIOVANNI LUCA,1999,19,m
GIUSEPPE EMANUELE,1999,19,m
LORENZO PIO,1999,19,m
MARCO PIO,1999,19,m
MATHIAS,1999,19,m
MATTIAS,1999,19,m
MILO,1999,19,m
NICOL,1999,19,m
NICOLA PIO,1999,19,m
SANTE,1999,19,m
SILVESTRO,1999,19,m
TIBERIO,1999,19,m
TULLIO,1999,19,m
AMERIGO,1999,18,m
ANASS,1999,18,m
ANDREA FRANCESCO,1999,18,m
ANWAR,1999,18,m
DANIELA,1999,18,m
EMANUELA,1999,18,m
EZIO,1999,18,m
FIORENZO,1999,18,m
LULA,1999,18,m
MICHELE MARIA,1999,18,m
MOHAMMED,1999,18,m
NATHAN,1999,18,m
NAZARENO,1999,18,m
NOAH,1999,18,m
PIETRO MARIA,1999,18,m
ROMOLO,1999,18,m
SALAVTORE,1999,18,m
SILVIA,1999,18,m
VITANTONIO,1999,18,m
AMBROGIO,1999,17,m
ANDREA GIOVANNI,1999,17,m
ELISEO,1999,17,m
FRANCESCO GIOVANNI,1999,17,m
GIANMATTEO,1999,17,m
GIUSEPPE ANDREA,1999,17,m
ISIDORO,1999,17,m
LORENZO GIUSEPPE,1999,17,m
LUCA MARIA,1999,17,m
MATTHEW,1999,17,m
MEHDI,1999,17,m
NIZAR,1999,17,m
PIERGIUSEPPE,1999,17,m
SAAD,1999,17,m
SALVATORE EMANUELE,1999,17,m
SANTINO,1999,17,m
AGATINO,1999,16,m
ALESSIO PIO,1999,16,m
ANGELO RAFFAELE,1999,16,m
ANNDREA,1999,16,m
DAVIDE GIUSEPPE,1999,16,m
EDWARD,1999,16,m
EFREM,1999,16,m
EMIL,1999,16,m
GIAMBATTISTA,1999,16,m
ILIAS,1999,16,m
JACOPO MARIA,1999,16,m
NICOLE,1999,16,m
PHILIP,1999,16,m
PIER FRANCESCO,1999,16,m
RIDA,1999,16,m
SALVATORE FRANCESCO,1999,16,m
SIMONE FRANCESCO,1999,16,m
SONNY,1999,16,m
STIVEN,1999,16,m
VASCO,1999,16,m
VIRGILIO,1999,16,m
ALBERTO MARIA,1999,15,m
ALESANDRO,1999,15,m
ARNALDO,1999,15,m
CHRISTIAN PIO,1999,15,m
CONCETTO,1999,15,m
COSMO,1999,15,m
DOMENICO ANTONIO,1999,15,m
GABRIELE PIO,1999,15,m
IAN,1999,15,m
JAMES,1999,15,m
JOHANNES,1999,15,m
LIBERO,1999,15,m
LODOVICO,1999,15,m
LUCA ANTONIO,1999,15,m
LUCA FRANCESCO,1999,15,m
MIKAEL,1999,15,m
OLIVIERO,1999,15,m
RAFAEL,1999,15,m
RAFFAELE PIO,1999,15,m
RAMON,1999,15,m
SALVATORE ANTONIO,1999,15,m
SAVIO,1999,15,m
SOUFIAN,1999,15,m
STANISLAO,1999,15,m
TOMASO,1999,15,m
VINCENZO MARIA,1999,15,m
VITO ANTONIO,1999,15,m
YASSER,1999,15,m
ADIL,1999,14,m
ALEN,1999,14,m
ANDREW,1999,14,m
BRAIAN,1999,14,m
CRISTOFER,1999,14,m
DONATELLO,1999,14,m
GIAMPIETRO,1999,14,m
GIAN PAOLO,1999,14,m
GIANPIETRO,1999,14,m
GIOVANNI MARCO,1999,14,m
GLAUCO,1999,14,m
JEREMY,1999,14,m
JONNY,1999,14,m
JURGEN,1999,14,m
LORENZO FRANCESCO,1999,14,m
LUCA PIO,1999,14,m
LUCAS,1999,14,m
LUIGI ANTONIO,1999,14,m
MATIAS,1999,14,m
MICHELLE,1999,14,m
NAIM,1999,14,m
OLMO,1999,14,m
PIER GIORGIO,1999,14,m
PIERRE,1999,14,m
PIETRO PIO,1999,14,m
ROCCO PIO,1999,14,m
SANTI,1999,14,m
TOMMASO MARIA,1999,14,m
TONI,1999,14,m
TONY,1999,14,m
ALESIO,1999,13,m
ALESSANDRO FRANCESC,1999,13,m
ANDREA SALVATORE,1999,13,m
ANGELO MARIA,1999,13,m
BARTOLO,1999,13,m
BORIS,1999,13,m
CLAUDIA,1999,13,m
DAVIS,1999,13,m
EMANUELE FRANCESCO,1999,13,m
ERMES,1999,13,m
ERMINIO,1999,13,m
FRANCESLO,1999,13,m
GAVINO,1999,13,m
GIACOMO MARIA,1999,13,m
GIAN MARIA,1999,13,m
GIORGIA,1999,13,m
ISLAM,1999,13,m
JOHN,1999,13,m
JONATAN,1999,13,m
JOSE,1999,13,m
LEONARDO MARIA,1999,13,m
LIBORIO,1999,13,m
LORENZ,1999,13,m
LUIS,1999,13,m
MARC,1999,13,m
MARCO FRANCESCO,1999,13,m
MATEO,1999,13,m
MATIA,1999,13,m
MATTEO GIOVANNI,1999,13,m
MATTIA GIUSEPPE,1999,13,m
MATTIA PIO,1999,13,m
MORIS,1999,13,m
NAZZARENO,1999,13,m
PIERCARLO,1999,13,m
PLACIDO,1999,13,m
RINALDO,1999,13,m
RINO,1999,13,m
RYAN,1999,13,m
SOFIANE,1999,13,m
TARIK,1999,13,m
VALENTINA,1999,13,m
YASIN,1999,13,m
YOUSEF,1999,13,m
ALAIN,1999,12,m
ANIS,1999,12,m
AYMEN,1999,12,m
BEATRICE,1999,12,m
BRENDON,1999,12,m
CARMINE PIO,1999,12,m
CIPRIANO,1999,12,m
DANIELE PIO,1999,12,m
DAVIDE ANTONIO,1999,12,m
DEMIS,1999,12,m
ENDI,1999,12,m
FIORE,1999,12,m
FIORELLO,1999,12,m
FRANCESCO JUNIOR,1999,12,m
FRANCESCO SALVATORE,1999,12,m
GIAN LORENZO,1999,12,m
GIORGIO MARIA,1999,12,m
GIULIO MARIA,1999,12,m
GIUSEPPE DAVIDE,1999,12,m
HANZA,1999,12,m
HICHAM,1999,12,m
ILYAS,1999,12,m
ISAAC,1999,12,m
IVO,1999,12,m
LEONARDO PIO,1999,12,m
LINO,1999,12,m
MARCO MARIA,1999,12,m
MARK,1999,12,m
MATTEO GIUSEPPE,1999,12,m
MIGUEL,1999,12,m
MIRIAM,1999,12,m
MOSE,1999,12,m
MOURAD,1999,12,m
NAZARIO,1999,12,m
NILOLO,1999,12,m
PAOLINO,1999,12,m
RAFFAELLO,1999,12,m
REMO,1999,12,m
ROMANO,1999,12,m
SERAFINO,1999,12,m
SOFIAN,1999,12,m
STEFANO MARIA,1999,12,m
ABDELLAH,1999,11,m
ALBERT,1999,11,m
ALFONSO MARIA,1999,11,m
ANDY,1999,11,m
ANOTNIO,1999,11,m
CRISTOFARO,1999,11,m
DAVIDE SALVATORE,1999,11,m
DEJAN,1999,11,m
DOMENICO FRANCESCO,1999,11,m
EDDIE,1999,11,m
EMIDIO,1999,11,m
EMIR,1999,11,m
FRANCESCO ANDREA,1999,11,m
FRANCESCO EMANUELE,1999,11,m
GABRIELE ANGELO,1999,11,m
